Zip,Hour,Number of Trips
7026,7,5
7026,8,2
7026,9,4
7026,10,4
7026,11,5
7026,12,1
7026,13,4
7026,14,5
7026,15,2
7026,16,1
7026,17,4
7026,19,1
7026,20,5
7026,21,4
7026,22,4
7026,23,9
7027,0,5
7027,1,1
7027,4,2
7027,9,2
7027,10,2
7027,13,2
7027,14,2
7027,15,2
7027,16,1
7027,17,2
7027,18,2
7027,19,1
7027,20,2
7027,21,3
7027,22,6
7027,23,1
7028,0,3
7028,2,3
7028,3,10
7028,4,7
7028,5,12
7028,6,8
7028,7,6
7028,8,4
7028,9,4
7028,10,3
7028,11,4
7028,12,7
7028,13,7
7028,14,7
7028,15,6
7028,16,8
7028,17,9
7028,18,10
7028,19,12
7028,20,10
7028,21,17
7028,22,13
7028,23,12
7029,0,4
7029,1,2
7029,2,2
7029,3,2
7029,4,6
7029,6,5
7029,7,4
7029,8,4
7029,9,1
7029,10,3
7029,11,8
7029,12,5
7029,13,1
7029,14,9
7029,15,9
7029,16,5
7029,17,5
7029,18,3
7029,19,7
7029,20,10
7029,21,18
7029,22,7
7029,23,1
7030,0,706
7030,1,531
7030,2,230
7030,3,180
7030,4,289
7030,5,304
7030,6,315
7030,7,391
7030,8,233
7030,9,236
7030,10,265
7030,11,276
7030,12,247
7030,13,296
7030,14,326
7030,15,374
7030,16,473
7030,17,573
7030,18,716
7030,19,714
7030,20,882
7030,21,1213
7030,22,1195
7030,23,863
7031,0,6
7031,1,4
7031,2,2
7031,3,1
7031,4,3
7031,5,3
7031,6,2
7031,7,2
7031,8,1
7031,10,5
7031,11,4
7031,12,5
7031,13,1
7031,14,1
7031,15,2
7031,16,5
7031,17,3
7031,18,8
7031,19,5
7031,20,4
7031,21,6
7031,22,3
7031,23,3
7032,0,1
7032,4,1
7032,5,1
7032,7,1
7032,9,1
7032,10,2
7032,11,7
7032,12,2
7032,13,7
7032,14,2
7032,15,3
7032,17,1
7032,18,4
7032,20,1
7032,21,5
7032,22,1
7032,23,2
7033,0,3
7033,1,1
7033,2,1
7033,3,1
7033,6,1
7033,8,1
7033,9,1
7033,10,1
7033,11,2
7033,12,1
7033,13,2
7033,14,3
7033,15,8
7033,16,6
7033,17,2
7033,18,2
7033,19,3
7033,20,1
7033,21,2
7033,22,5
7033,23,4
7034,0,2
7034,16,2
7034,19,1
7034,21,1
7034,22,2
7035,1,1
7035,2,2
7035,4,1
7035,6,1
7035,7,1
7035,14,1
7035,15,1
7035,16,1
7035,20,1
7035,21,2
7035,22,1
7036,0,1
7036,2,1
7036,4,1
7036,5,2
7036,8,3
7036,9,3
7036,10,4
7036,11,1
7036,12,5
7036,13,3
7036,14,6
7036,15,1
7036,16,3
7036,17,1
7036,18,4
7036,19,1
7036,20,1
