Zip,Weekday,Number of Trips
7624,2,1
7624,3,2
7624,4,2
7624,5,2
7624,6,3
7626,0,7
7626,1,8
7626,2,10
7626,3,16
7626,4,13
7626,5,17
7626,6,15
7627,0,4
7627,1,2
7627,2,5
7627,3,8
7627,4,11
7627,5,4
7627,6,5
7628,0,5
7628,1,2
7628,2,3
7628,3,3
7628,4,3
7628,5,3
7628,6,7
7630,2,2
7630,3,2
7630,4,1
7630,5,1
7630,6,1
7631,0,60
7631,1,64
7631,2,53
7631,3,74
7631,4,58
7631,5,60
7631,6,49
7632,0,40
7632,1,62
7632,2,60
7632,3,63
7632,4,59
7632,5,20
7632,6,21
7640,0,1
7640,1,1
7640,3,2
7640,4,5
7640,5,7
7640,6,7
7641,2,1
7641,6,2
7642,0,2
7642,1,4
7642,2,5
7642,3,2
7642,4,7
7642,5,5
7642,6,2
7643,0,10
7643,1,5
7643,3,3
7643,4,8
7643,5,9
7643,6,11
7644,0,7
7644,1,10
7644,2,10
7644,3,10
7644,4,14
7644,5,15
7644,6,14
7645,0,6
7645,1,6
7645,2,10
7645,3,10
7645,4,6
7645,5,9
7645,6,7
7646,0,5
7646,1,3
7646,2,4
7646,3,8
7646,4,8
7646,5,7
7646,6,4
7647,0,3
7647,1,1
7647,2,4
7647,3,6
7647,4,5
7647,5,4
7647,6,3
7648,0,3
7648,1,5
7648,2,7
7648,3,7
7648,4,3
7648,5,17
7648,6,6
7649,0,10
7649,1,8
7649,2,7
7649,3,6
7649,4,8
7649,5,3
7649,6,7
7650,0,12
7650,1,16
7650,2,27
7650,3,27
7650,4,14
7650,5,22
7650,6,18
7652,0,8
7652,1,24
7652,2,32
7652,3,41
7652,4,22
7652,5,22
7652,6,15
7656,0,3
7656,2,1
7656,3,4
7656,4,5
7656,5,5
7656,6,1
7657,0,4
7657,1,2
7657,2,1
7657,3,9
7657,4,4
7657,5,3
7657,6,6
7660,0,19
7660,1,35
7660,2,29
7660,3,57
7660,4,35
7660,5,27
7660,6,13
7661,0,12
7661,1,11
7661,2,16
7661,3,20
7661,4,7
7661,5,11
7661,6,4
7662,0,18
7662,1,22
7662,2,25
7662,3,25
7662,4,23
7662,5,29
7662,6,15
7663,0,8
7663,1,12
7663,2,12
7663,3,6
7663,4,9
7663,5,11
7663,6,9
7666,0,24
7666,1,21
7666,2,12
7666,3,24
7666,4,19
7666,5,14
7666,6,21
7670,0,26
7670,1,29
7670,2,27
7670,3,24
7670,4,29
7670,5,39
7670,6,31
7675,0,2
7675,1,2
7675,2,1
7675,3,2
7675,5,5
7675,6,6
7676,0,4
7676,1,3
7676,2,7
7676,3,10
7676,4,21
7676,5,22
7676,6,6
7677,0,2
7677,1,3
7677,2,5
7677,3,1
7677,4,4
7677,5,7
7677,6,1
7701,0,2
7701,3,3
7701,4,14
7701,5,27
7701,6,16
7702,0,1
7702,3,1
7702,4,2
7702,5,2
7702,6,1
7703,4,1
7703,5,1
7703,6,2
7704,1,1
7704,3,1
7704,4,2
7704,5,7
7704,6,3
7711,1,2
7711,3,1
7711,4,11
7711,5,9
7711,6,9
7712,4,2
7712,5,3
7712,6,5
7716,2,1
7716,3,1
7716,4,5
7716,5,1
7716,6,1
7717,0,6
7717,1,2
7717,2,1
7717,3,2
7717,4,34
7717,5,96
7717,6,50
7719,2,1
7719,4,4
7719,5,7
7719,6,1
7720,0,2
7720,2,1
7720,3,1
7720,4,8
7720,5,9
7720,6,5
7721,0,2
7721,2,3
7721,3,2
7721,4,1
7721,5,1
7722,0,1
7722,2,1
7722,4,3
7722,5,7
7722,6,1
7723,0,1
7723,1,1
7723,2,1
7723,4,2
7723,5,2
7723,6,10
7724,4,4
7724,5,6
7726,3,1
7726,5,2
7727,2,1
7727,3,1
7727,5,1
7728,3,1
7728,5,1
7728,6,2
7730,0,1
7730,2,2
7730,3,2
7730,4,3
7730,5,1
7730,6,5
7731,4,1
7731,5,2
7732,0,2
7732,4,3
7732,5,4
7732,6,3
7733,0,3
7733,1,3
7733,3,1
7733,4,2
7733,5,3
7733,6,5
7734,3,1
7735,3,2
7735,4,1
7735,6,1
7737,0,1
7738,0,1
7738,1,1
7738,3,1
7738,4,2
7738,5,1
7739,4,1
7739,5,7
7739,6,3
7740,0,1
7740,1,1
7740,4,9
7740,5,16
7740,6,11
7746,2,2
7746,3,1
7746,5,6
7746,6,1
7747,0,1
7747,1,1
7747,2,1
7747,3,3
7747,4,4
7747,5,2
7747,6,1
7748,2,1
7748,4,1
7748,5,5
7750,0,1
7750,1,1
7750,3,1
7750,4,8
7750,5,9
7750,6,1
7751,1,1
7751,2,1
7751,3,1
7751,4,1
7751,5,1
7751,6,6
7753,2,2
7753,4,2
7753,5,9
7753,6,1
7755,3,1
7755,4,2
7755,5,4
7755,6,2
7756,0,3
7756,1,1
7756,3,2
7756,4,14
7756,5,39
7756,6,22
7757,4,4
7757,5,4
7760,0,1
7760,1,1
7760,2,2
7760,3,1
7760,4,4
7760,5,11
7760,6,5
7762,0,1
7762,1,1
7762,4,16
7762,5,47
7762,6,14
7764,0,1
7764,3,2
7764,4,3
7764,5,4
7764,6,5
7801,0,1
7801,2,1
7801,3,3
7801,4,3
7801,5,1
7801,6,1
7803,2,1
7821,5,1
7834,0,2
7834,1,2
7834,2,2
7834,3,3
7834,4,5
7834,5,6
7834,6,5
7840,3,2
7847,6,3
7849,2,1
7852,5,1
7866,1,1
7866,3,3
7866,5,1
7869,0,1
7869,3,1
7869,5,2
7869,6,1
7871,0,1
7876,4,2
7876,5,1
7885,4,1
7901,0,41
7901,1,43
7901,2,42
7901,3,62
7901,4,45
7901,5,26
7901,6,17
7920,2,2
7920,3,2
7920,4,4
7920,6,1
7921,0,3
7921,1,6
7921,2,4
7921,3,5
7921,4,4
7921,5,4
7921,6,2
7922,0,8
7922,1,10
7922,2,4
7922,3,11
7922,4,3
7922,5,5
7922,6,1
7924,0,3
7924,1,2
7924,2,4
7924,3,5
7924,4,5
7924,5,7
7924,6,3
7927,0,15
7927,1,20
7927,2,20
7927,3,24
7927,4,14
7927,5,19
7927,6,10
7928,0,4
7928,1,13
7928,2,11
7928,3,14
7928,4,9
7928,5,15
7928,6,9
7930,4,1
7931,3,2
7931,6,1
7932,0,10
7932,1,8
7932,2,12
7932,3,16
7932,4,12
7932,5,10
7932,6,4
7933,0,1
7933,3,4
7933,4,3
7933,5,2
7935,1,1
7935,5,1
7935,6,1
7936,0,9
7936,1,22
7936,2,20
7936,3,22
7936,4,8
7936,5,9
7936,6,1
7939,0,5
7939,1,6
7939,2,5
7939,3,5
7939,4,2
7939,5,5
7940,0,23
7940,1,20
7940,2,24
7940,3,25
7940,4,24
7940,5,21
7940,6,18
7945,0,1
7945,1,1
7945,3,1
7945,6,1
7946,1,1
7946,5,1
7950,0,15
7950,1,11
7950,2,7
7950,3,8
7950,4,10
7950,5,2
7950,6,9
7960,0,16
7960,1,29
7960,2,23
7960,3,21
7960,4,26
7960,5,46
7960,6,43
7974,0,11
7974,1,8
7974,2,9
7974,3,6
7974,4,4
7974,5,4
7974,6,6
7976,0,3
7976,1,8
7976,2,5
7976,3,7
7976,4,3
7976,5,1
7976,6,1
7980,1,2
7980,4,2
7980,5,2
7980,6,1
7981,0,10
7981,1,8
7981,2,7
7981,3,5
7981,4,5
7981,5,5
7981,6,4
8008,5,1
8050,5,1
8092,4,1
8502,0,1
8502,2,1
8512,3,3
8512,5,2
8514,2,2
8520,0,1
8520,1,3
8520,5,3
8520,6,1
8528,0,1
8528,1,2
8528,3,1
8528,4,2
8528,5,1
8528,6,3
8530,2,1
8535,2,4
8536,0,3
8536,1,9
8536,2,9
8536,3,5
8536,4,17
8536,5,7
8536,6,5
8540,3,1
8540,4,1
8540,5,1
8542,0,16
8542,1,17
8542,2,15
8542,3,18
8542,4,34
8542,5,36
8542,6,14
8550,0,2
8550,1,4
8550,2,7
8550,3,3
8550,4,3
8550,5,3
8550,6,2
8551,1,1
8553,3,3
8553,6,3
8558,1,1
8619,3,1
8628,0,1
8648,1,1
8690,2,1
8691,0,2
8701,1,1
8701,4,1
8722,0,1
8722,6,2
8723,5,1
8724,5,2
8724,6,1
8730,0,1
8730,4,9
8730,5,10
8730,6,3
8734,5,1
8735,4,4
8735,5,11
8735,6,2
8736,0,1
8736,1,2
8736,5,2
8738,4,2
8738,5,8
8741,3,1
8742,0,2
8742,3,1
8742,4,9
8742,5,19
8742,6,7
8750,0,1
8750,2,1
8750,3,2
8750,4,14
8750,5,35
8750,6,21
8751,5,1
8751,6,7
8752,5,2
8753,5,1
8755,6,1
8805,0,1
8805,1,1
8805,2,4
8805,3,2
8805,4,2
8805,5,1
8805,6,1
8807,0,4
8807,1,9
8807,2,9
8807,3,11
8807,4,2
8807,5,3
8807,6,4
8810,0,2
8810,1,2
8810,2,2
8810,3,2
8812,0,3
8812,2,1
8812,4,1
8812,5,3
8812,6,1
8816,0,1
8816,1,1
8816,2,4
8816,3,1
8816,5,3
8816,6,1
8817,0,12
8817,1,3
8817,2,10
8817,3,8
8817,4,10
8817,5,10
8817,6,11
8820,0,10
8820,1,3
8820,2,6
8820,3,4
8820,4,7
8820,5,3
8820,6,2
8822,0,1
8823,0,1
8823,2,1
8823,3,1
8824,0,3
8824,6,1
8828,0,2
8828,1,2
8828,3,1
8828,5,1
8830,0,18
8830,1,40
8830,2,36
8830,3,47
8830,4,33
8830,5,13
8830,6,15
8831,2,1
8831,3,2
8831,6,1
8832,1,1
8832,2,1
8832,3,1
8832,4,3
8832,6,2
8835,2,1
8835,3,1
8835,6,2
8836,0,1
8836,2,1
8836,3,1
8836,4,1
8837,0,5
8837,1,9
8837,2,21
8837,3,8
8837,4,11
8837,5,4
8837,6,2
8840,0,8
8840,1,3
8840,2,7
8840,3,6
8840,4,4
8840,6,11
8844,6,1
8846,0,3
8846,1,2
8846,2,1
8846,3,1
8846,4,4
8846,5,1
8850,1,1
8850,2,3
8850,3,1
8850,4,1
8850,5,1
8850,6,2
8852,2,1
8852,5,2
8852,6,1
8853,2,1
8854,0,11
8854,1,10
8854,2,12
8854,3,7
8854,4,11
8854,5,17
8854,6,6
8857,0,1
8857,2,4
8857,3,2
8857,5,4
8857,6,1
8859,0,3
8859,1,3
8859,2,2
8859,3,1
8859,4,2
8859,5,2
8859,6,3
8861,0,4
8861,1,2
8861,2,2
8861,3,5
8861,4,5
8861,5,2
8861,6,1
8863,0,7
8863,1,3
8863,2,6
8863,3,12
8863,4,6
8863,5,4
8863,6,2
8869,0,10
8869,1,1
8869,2,5
8869,3,7
8869,4,3
8869,6,1
8872,0,3
8872,3,3
8872,4,2
8872,5,3
8872,6,2
8873,1,2
8873,2,1
8873,3,5
8873,4,3
8873,5,3
8873,6,4
8876,1,1
8876,3,6
8876,4,1
8879,0,1
8879,1,5
8879,2,5
8879,3,4
8879,4,6
8879,5,6
8879,6,3
8880,0,6
8880,1,6
8880,2,6
8880,3,5
8880,4,7
8880,5,6
8880,6,3
8882,0,1
8882,1,1
8882,2,3
8882,3,1
8882,4,2
8882,5,4
8882,6,2
8884,3,1
8884,4,1
8884,6,2
8889,1,1
8889,2,2
8889,3,1
8901,0,9
8901,1,8
8901,2,14
8901,3,10
8901,4,9
8901,5,6
8901,6,4
8902,0,3
8902,1,4
8902,2,1
8902,3,5
8902,4,4
8902,5,6
8902,6,3
8904,0,22
8904,1,24
8904,2,25
8904,3,14
8904,4,29
8904,5,49
8904,6,25
10001,0,23901
10001,1,33445
10001,2,36284
10001,3,38469
10001,4,33751
10001,5,21741
10001,6,15654
10002,0,15103
10002,1,18195
10002,2,19544
10002,3,21628
10002,4,25284
10002,5,27773
10002,6,21224
10003,0,20085
10003,1,26610
10003,2,28493
10003,3,32600
10003,4,34521
10003,5,30787
10003,6,19669
10004,0,48
10004,1,52
10004,2,61
10004,3,109
10004,4,115
10004,5,114
10004,6,105
10005,0,3121
10005,1,4398
10005,2,4482
10005,3,5424
10005,4,4858
10005,5,3882
10005,6,2174
10006,0,2835
10006,1,3893
10006,2,4146
10006,3,4376
10006,4,4182
10006,5,3269
10006,6,2076
10007,0,4309
10007,1,5717
10007,2,6085
10007,3,6753
10007,4,6515
10007,5,5474
10007,6,3119
10009,0,13050
10009,1,14542
10009,2,15259
10009,3,17294
10009,4,20970
10009,5,17917
10009,6,12058
10011,0,27780
10011,1,37960
10011,2,40834
10011,3,46863
10011,4,45960
10011,5,38551
10011,6,25315
10012,0,28701
