Zip,Weekday,Hour,Number of Trips
10282,6,14,1
10451,5,16,1
10452,4,18,1
10456,4,22,1
10458,2,2,1
10468,6,10,1
10471,4,19,1
10580,0,15,1
10580,2,21,1
10603,1,10,1
11001,2,16,1
11101,2,20,1
11101,4,10,1
11101,5,16,1
11102,0,6,1
11102,0,20,1
11103,3,1,1
11104,4,13,1
11104,6,17,1
11105,0,5,1
11105,5,7,1
11105,5,15,1
11106,1,15,1
11106,2,9,1
11106,4,1,1
11106,5,11,1
11109,5,15,1
11201,2,9,1
11201,2,17,1
11201,2,19,1
11201,4,3,1
11201,4,22,1
11201,5,1,1
11201,5,10,1
11201,5,14,1
11201,5,17,1
11201,5,22,1
11201,6,14,1
11205,0,22,1
11205,1,18,1
11205,2,5,1
11205,4,12,1
11205,4,20,1
11205,5,8,1
11205,6,20,1
11206,0,9,1
11206,0,20,1
11206,1,20,1
11206,4,18,1
11209,2,17,1
11210,6,13,1
11211,0,11,1
11211,0,12,1
11211,1,5,1
11211,1,6,1
11211,1,9,2
11211,1,11,1
11211,1,12,1
11211,1,15,1
11211,1,16,1
11211,1,18,1
11211,2,0,1
11211,2,7,1
11211,2,14,1
11211,2,16,1
11211,2,19,1
11211,2,23,1
11211,3,4,1
11211,3,10,1
11211,4,3,1
11211,4,4,1
11211,4,12,1
11211,4,14,1
11211,4,17,1
11211,4,18,1
11211,5,9,1
11211,5,10,1
11211,5,11,1
11211,5,18,1
11211,5,21,1
11211,6,1,1
11211,6,4,1
11211,6,9,1
11211,6,12,1
11211,6,15,1
11211,6,18,1
11211,6,21,1
11213,0,16,1
11213,5,14,1
11215,0,5,1
11215,0,8,1
11215,1,18,1
11215,1,21,1
11215,2,17,1
11215,2,20,1
11215,3,9,1
11215,4,16,1
11215,4,20,1
11215,4,22,1
11215,6,3,1
11215,6,17,1
11216,1,16,1
11216,1,19,1
11217,0,21,1
11217,2,13,1
11217,2,22,1
11217,3,6,1
11217,3,8,1
11217,3,21,1
11217,4,8,1
11217,4,12,1
11217,5,2,1
11217,5,8,1
11217,5,12,1
11217,5,16,1
11217,6,18,1
11218,6,16,1
11219,6,13,1
11220,1,15,1
11220,5,8,1
11221,1,11,1
11221,4,11,1
11222,0,20,1
11222,1,7,1
11222,1,23,1
11222,2,8,1
11222,4,6,1
11222,4,17,1
11222,4,23,1
11222,5,4,1
11222,5,13,1
11222,5,20,1
11222,5,22,1
11222,6,4,1
11222,6,14,1
11222,6,23,1
11224,6,17,1
11224,6,18,1
11225,1,16,1
11225,3,17,1
11225,6,16,1
11226,0,21,1
11226,3,17,1
11230,0,8,1
11230,1,14,1
11231,1,9,1
11231,1,19,1
11231,2,13,1
11231,2,15,1
11231,3,5,1
11231,3,7,1
11231,3,20,1
11231,4,16,1
11231,4,19,1
11231,5,18,1
11231,6,16,1
11231,6,18,1
11231,6,23,1
11233,6,5,1
11235,5,21,1
11235,6,11,1
11237,2,18,1
11237,3,13,1
11237,4,0,1
11237,4,21,1
11237,6,23,1
11238,0,15,1
11238,2,12,1
11238,2,22,1
11238,4,8,1
11238,4,23,1
11238,5,16,1
11238,6,21,1
11351,6,18,1
11367,2,5,1
11369,6,21,1
11370,1,17,1
11371,0,12,1
11371,1,12,1
11371,1,16,1
11371,2,14,1
11371,2,16,1
11371,3,20,1
11371,3,21,1
11371,3,22,1
11371,4,8,1
11371,4,13,1
11371,4,14,1
11371,4,15,1
11371,4,16,1
11371,4,17,1
11371,5,12,1
11371,6,16,1
11371,6,18,3
11372,0,3,1
11372,0,15,1
11372,2,4,1
11373,5,22,1
11377,6,5,1
11378,4,17,1
11385,2,21,1
11385,4,20,1
11413,6,18,1
11422,0,4,1
11422,0,14,1
11422,1,14,1
11422,1,23,1
11422,2,5,1
11422,2,11,1
11422,2,21,1
11422,3,4,1
11422,3,15,1
11422,3,17,1
11422,4,20,1
11422,4,23,1
11422,5,14,1
11422,6,14,1
11422,6,15,1
11422,6,16,1
11422,6,17,2
11422,6,18,1
11422,6,20,1
11422,6,23,1
11434,4,5,1
11514,2,15,1
11566,1,5,1
11572,2,19,1
11801,6,17,1
