Zip,Weekday,Hour,Expected Trips,Expected Trips (Est)
7020,2,20,0,0.05069642886519432
7020,2,21,0,0.051562197506427765
7020,2,22,0,0.05242795869708061
7020,2,23,0,0.05329372361302376
7020,3,0,0,0.039433542639017105
7020,3,1,0,0.03933899104595184
7020,3,2,0,0.03958699107170105
7020,3,3,0,0.040425799787044525
7020,3,4,0,0.04144642874598503
7020,3,5,0,0.042467061430215836
7020,3,6,0,0.043128158897161484
7020,3,7,0,0.04307063668966293
7020,3,8,0,0.04301311448216438
7020,3,9,0,0.04295559227466583
7020,3,10,0,0.042898066341876984
7020,3,11,0,0.04309197887778282
7020,3,12,0,0.04331881180405617
7020,3,13,0,0.043545641005039215
7020,3,14,0,0.043772466480731964
7020,3,15,0,0.04399929940700531
7020,3,16,0,0.04422612860798836
7020,3,17,0,0.044452961534261703
7020,3,18,0,0.04467978700995445
7020,3,19,0,0.0449066199362278
7020,3,20,0,0.04513344541192055
7020,3,21,0,0.045360270887613297
7020,3,22,0,0.046218350529670715
7020,3,23,0,0.047084104269742966
7020,4,0,0,0.04392602667212486
7020,4,1,0,0.043380606919527054
7020,4,2,0,0.04249225929379463
7020,4,3,0,0.04160391539335251
7020,4,4,0,0.040999799966812134
7020,4,5,0,0.040690917521715164
7020,4,6,0,0.0403820276260376
7020,4,7,0,0.04007314145565033
7020,4,8,0,0.04027086868882179
7020,4,9,0,0.04049769788980484
7020,4,10,0,0.04072452709078789
7020,4,11,0,0.040951356291770935
7020,4,12,0,0.04117818549275398
7020,4,13,0,0.04140501096844673
7020,4,14,0,0.041631847620010376
7020,4,15,0,0.041858673095703125
7020,4,16,0,0.04208550602197647
7020,4,17,0,0.042065661400556564
7020,4,18,0,0.042145755141973495
7020,4,19,0,0.04225344955921173
7020,4,20,0,0.042361143976449966
7020,4,21,0,0.0424688383936882
7020,4,22,0,0.04257653281092644
7020,4,23,0,0.04268422722816467
7020,5,0,0,0.04522966593503952
7020,5,1,0,0.04466291889548302
